--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.056  000.056: event init
000.160  000.104: early init
000.451  000.291: locale set
000.472  000.021: init first window
000.764  000.291: inits 1
000.770  000.006: window checked
000.773  000.003: parsing arguments
001.078  000.025  000.025: require('vim.shared')
001.129  000.020  000.020: require('vim.inspect')
001.156  000.023  000.023: require('vim._options')
001.159  000.079  000.036: require('vim._editor')
001.192  000.032  000.032: require('vim._system')
001.193  000.157  000.020: require('vim._init_packages')
001.194  000.265: init lua interpreter
002.748  001.553: expanding arguments
002.760  000.013: inits 2
002.927  000.167: init highlight
002.945  000.018: clear screen
003.037  000.009  000.009: require('vim.keymap')
003.890  000.090  000.090: sourcing nvim_exec2()
004.011  001.063  000.965: require('vim._defaults')
004.012  000.004: init default mappings & autocommands
004.587  000.043  000.043: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/ftplugin.vim
004.650  000.016  000.016: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/indent.vim
005.894  000.309  000.309: sourcing nvim_exec2() called at /Users/s_a_b/Documents/etc/dotfiles/config/nvim/init.lua:0
030.195  024.298  024.298: sourcing nvim_exec2() called at /Users/s_a_b/Documents/etc/dotfiles/config/nvim/init.lua:0
032.469  000.098  000.098: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/gzip.vim
032.931  000.119  000.119: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
032.978  000.478  000.358: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/matchit.vim
033.078  000.073  000.073: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/matchparen.vim
033.490  000.115  000.115: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
